Coordinates ; Peaks X-coordinates ;  Peaks Y-coordinates                                                                                                                                                                                                                                                                                                                                                     
{17,16};[270,1134,1723,1911];[46.6213017751479,49.792899408284,44.6390532544379,44.6804733727811]                                                                                                                                                                                                                                                                                                            
{18,16};[2038];[47.3550295857988]                                                                                                                                                                                                                                                                                                                                                                            
{19,16};[8,553,904,1797];[55.9822485207101,57.9644970414201,55.9881656804734,56.0414201183432]                                                                                                                                                                                                                                                                                                               
{20,16};[160,405];[60.396449704142,59.0591715976331]                                                                                                                                                                                                                                                                                                                                                         
{21,16};[28,865,2250];[42.0710059171598,41.9112426035503,42.4792899408284]                                                                                                                                                                                                                                                                                                                                   
{22,16};[887,2256];[30.9822485207101,31.7278106508876]                                                                                                                                                                                                                                                                                                                                                       
{25,16};[14,572];[29.8343195266272,30.9349112426036]                                                                                                                                                                                                                                                                                                                                                         
{26,16};[1035];[43.6568047337278]                                                                                                                                                                                                                                                                                                                                                                            
{28,16};[446,2099];[19.508875739645,20.7218934911243]                                                                                                                                                                                                                                                                                                                                                        
{29,16};[1250];[30.0591715976331]                                                                                                                                                                                                                                                                                                                                                                            
{2,15};[1861,2248];[42.7100591715976,44.0591715976331]                                                                                                                                                                                                                                                                                                                                                       
{3,15};[2236];[41.9940828402367]                                                                                                                                                                                                                                                                                                                                                                             
{4,15};[21,702,1033];[39.396449704142,39.9644970414201,37.2366863905325]                                                                                                                                                                                                                                                                                                                                     
{5,15};[413];[34.2899408284024]                                                                                                                                                                                                                                                                                                                                                                              
{6,15};[681];[23.7751479289941]                                                                                                                                                                                                                                                                                                                                                                              
{7,15};[9];[28.8224852071006]                                                                                                                                                                                                                                                                                                                                                                                
{9,15};[143];[21.8698224852071]                                                                                                                                                                                                                                                                                                                                                                              
{10,15};[464,1468];[37.2603550295858,36.2662721893491]                                                                                                                                                                                                                                                                                                                                                       
{11,15};[483];[35.7337278106509]                                                                                                                                                                                                                                                                                                                                                                             
{14,15};[1145];[48.5207100591716]                                                                                                                                                                                                                                                                                                                                                                            
{15,15};[1169,1304,1442,1925];[48.5443786982249,53.1715976331361,47.5443786982249,46.792899408284]                                                                                                                                                                                                                                                                                                           
{16,15};[2184];[31.5502958579882]                                                                                                                                                                                                                                                                                                                                                                            
{17,15};[398,1080,1921,2288];[55.3609467455621,54.3727810650888,57.8639053254438,54.8639053254438]                                                                                                                                                                                                                                                                                                           
{18,15};[1921,2299];[36.6804733727811,36.3313609467456]                                                                                                                                                                                                                                                                                                                                                      
{19,15};[1392,2316];[35.0355029585799,35.603550295858]                                                                                                                                                                                                                                                                                                                                                       
{20,15};[14,281,1604];[93.207100591716,95.2307692307692,93.0710059171598]                                                                                                                                                                                                                                                                                                                                    
{21,15};[2373];[31.0295857988166]                                                                                                                                                                                                                                                                                                                                                                            
{23,15};[694];[19.094674556213]                                                                                                                                                                                                                                                                                                                                                                              
{25,15};[2352];[16.7041420118343]                                                                                                                                                                                                                                                                                                                                                                            
{26,15};[683,1039];[34.3076923076923,35.0118343195266]                                                                                                                                                                                                                                                                                                                                                       
{27,15};[265];[25.7514792899408]                                                                                                                                                                                                                                                                                                                                                                             
{28,15};[460,1909];[27.5029585798817,28.9822485207101]                                                                                                                                                                                                                                                                                                                                                       
{29,15};[368,748,1559,2264];[37.810650887574,38.9230769230769,39.207100591716,38.0414201183432]                                                                                                                                                                                                                                                                                                              
{1,14};[686];[58.9358974358974]                                                                                                                                                                                                                                                                                                                                                                              
{2,14};[1879];[67.3431952662722]                                                                                                                                                                                                                                                                                                                                                                             
{3,14};[221,847,1329,1527,1867,2236];[81.8579881656805,79.3076923076923,83.9940828402367,84.5680473372781,85.1952662721893,82.4437869822485]                                                                                                                                                                                                                                                                 
{5,14};[2288];[29.414201183432]                                                                                                                                                                                                                                                                                                                                                                              
{7,14};[1809];[28.9526627218935]                                                                                                                                                                                                                                                                                                                                                                             
{9,14};[37,819,1456];[29.0532544378698,28.9349112426036,28.1420118343195]                                                                                                                                                                                                                                                                                                                                    
{10,14};[8,479,1473,2345];[31.8579881656805,32.1597633136095,31.0532544378698,32.905325443787]                                                                                                                                                                                                                                                                                                               
{11,14};[25,437,1025,2358];[30.7218934911243,31.4852071005917,31.8934911242604,31.5798816568047]                                                                                                                                                                                                                                                                                                             
{12,14};[512];[33.6153846153846]                                                                                                                                                                                                                                                                                                                                                                             
{14,14};[283,1509];[36.1715976331361,38.112426035503]                                                                                                                                                                                                                                                                                                                                                        
{15,14};[1083,1339,1885];[40.1597633136095,41.8343195266272,41.6449704142012]                                                                                                                                                                                                                                                                                                                                
{16,14};[276,1309,1769];[56.6923076923077,56.5207100591716,60]                                                                                                                                                                                                                                                                                                                                               
{17,14};[405,1090,1346,1917];[87.4497041420118,85.1952662721893,84.1301775147929,83.1834319526627]                                                                                                                                                                                                                                                                                                           
{18,14};[119,1342];[74.1952662721893,72.8343195266272]                                                                                                                                                                                                                                                                                                                                                       
{19,14};[10];[77.9230769230769]                                                                                                                                                                                                                                                                                                                                                                              
{20,14};[1106,1619,2272];[68.5384615384615,69.8402366863905,70.4852071005917]                                                                                                                                                                                                                                                                                                                                
{21,14};[74,822,1281,1600,2019];[76.905325443787,76.6331360946746,75.414201183432,75.4378698224852,74.7396449704142]                                                                                                                                                                                                                                                                                         
{22,14};[74,548,798,1924];[39.5147928994083,38.6804733727811,41.3668639053254,39.396449704142]                                                                                                                                                                                                                                                                                                               
{23,14};[857];[28.5325443786982]                                                                                                                                                                                                                                                                                                                                                                             
{24,14};[14,1924];[41.698224852071,39.8402366863905]                                                                                                                                                                                                                                                                                                                                                         
{25,14};[21,283,1332];[36.5502958579882,35.396449704142,33.0887573964497]                                                                                                                                                                                                                                                                                                                                    
{26,14};[2322];[27.6331360946746]                                                                                                                                                                                                                                                                                                                                                                            
{27,14};[934,1291,2082];[57.5562130177515,56.7988165680473,56.6508875739645]                                                                                                                                                                                                                                                                                                                                 
{28,14};[2077];[34.6153846153846]                                                                                                                                                                                                                                                                                                                                                                            
{29,14};[1035,2075,2272];[41.1952662721894,41.9763313609467,44.7041420118343]                                                                                                                                                                                                                                                                                                                                
{1,13};[150,799];[47.8269230769231,48.2179487179487]                                                                                                                                                                                                                                                                                                                                                         
{2,13};[144,722,1300,1852];[120.467455621302,118.378698224852,118.100591715976,116.248520710059]                                                                                                                                                                                                                                                                                                             
{3,13};[145,1608,1866];[212.402366863905,212.597633136095,212.284023668639]                                                                                                                                                                                                                                                                                                                                  
{4,13};[1019,1502,2108];[79.9349112426035,80.2899408284024,81.2840236686391]                                                                                                                                                                                                                                                                                                                                 
{5,13};[270];[21.3668639053254]                                                                                                                                                                                                                                                                                                                                                                              
{7,13};[399];[36.8816568047337]                                                                                                                                                                                                                                                                                                                                                                              
{8,13};[1039];[20.0650887573964]                                                                                                                                                                                                                                                                                                                                                                             
{9,13};[822,1467];[37.207100591716,40.6390532544379]                                                                                                                                                                                                                                                                                                                                                         
{11,13};[337];[30.7751479289941]                                                                                                                                                                                                                                                                                                                                                                             
{12,13};[1304];[37.3372781065089]                                                                                                                                                                                                                                                                                                                                                                            
{13,13};[91];[37.4497041420118]                                                                                                                                                                                                                                                                                                                                                                              
{14,13};[20];[32.8579881656805]                                                                                                                                                                                                                                                                                                                                                                              
{15,13};[392,822,1917];[65.0591715976331,63.8698224852071,62.7692307692308]                                                                                                                                                                                                                                                                                                                                  
{16,13};[9,1598,2012];[82.4319526627219,83.3254437869822,81.3609467455621]                                                                                                                                                                                                                                                                                                                                   
{17,13};[270,382,842,944,1050];[73.6508875739645,77.7159763313609,75.8284023668639,74.6272189349112,74.4023668639053]                                                                                                                                                                                                                                                                                        
{18,13};[1153,1932];[77.3846153846154,78.0828402366864]                                                                                                                                                                                                                                                                                                                                                      
{19,13};[2020,2366];[43.1065088757396,44.4556213017751]                                                                                                                                                                                                                                                                                                                                                      
{20,13};[491,1122,1588];[80.887573964497,80.9763313609467,81.2189349112426]                                                                                                                                                                                                                                                                                                                                  
{21,13};[15,1338,1617,1935];[113.224852071006,109.94674556213,111.029585798817,114.573964497041]                                                                                                                                                                                                                                                                                                             
{22,13};[466,1942];[66.4733727810651,66.2544378698225]                                                                                                                                                                                                                                                                                                                                                       
{23,13};[180,1215,1970,2226];[93.4970414201184,93.8402366863905,95.1242603550296,94.189349112426]                                                                                                                                                                                                                                                                                                            
{24,13};[14,180,1887];[65.8047337278107,64.8284023668639,63.6627218934911]                                                                                                                                                                                                                                                                                                                                   
{25,13};[180,1287,1885,2235];[52.8343195266272,52.1005917159763,52.7455621301775,53.3372781065089]                                                                                                                                                                                                                                                                                                           
{26,13};[271,1214,2224];[60.5325443786982,60.7751479289941,60.9763313609467]                                                                                                                                                                                                                                                                                                                                 
{27,13};[305];[62.6627218934911]                                                                                                                                                                                                                                                                                                                                                                             
{28,13};[270,1526];[64.6094674556213,64.7988165680473]                                                                                                                                                                                                                                                                                                                                                       
{29,13};[2081,2271,2347];[33.7751479289941,33.4023668639053,33.7633136094675]                                                                                                                                                                                                                                                                                                                                
{1,12};[1637,1863,2379];[45.9487179487179,47.9679487179487,44.75]                                                                                                                                                                                                                                                                                                                                            
{2,12};[179,1608,1863,2236];[107.337278106509,108.692307692308,111.934911242604,110.023668639053]                                                                                                                                                                                                                                                                                                            
{3,12};[13,1599];[252.059171597633,252.03550295858]                                                                                                                                                                                                                                                                                                                                                          
{4,12};[568,2102];[160.633136094675,160.662721893491]                                                                                                                                                                                                                                                                                                                                                        
{5,12};[113,1866];[54.6686390532544,56.6390532544379]                                                                                                                                                                                                                                                                                                                                                        
{6,12};[265,1863];[29.094674556213,30.508875739645]                                                                                                                                                                                                                                                                                                                                                          
{7,12};[2367];[26.7988165680473]                                                                                                                                                                                                                                                                                                                                                                             
{8,12};[1609];[48.2544378698225]                                                                                                                                                                                                                                                                                                                                                                             
{9,12};[1861];[33.8047337278106]                                                                                                                                                                                                                                                                                                                                                                             
{10,12};[112,1603,1859];[44.3076923076923,45.189349112426,46.8047337278106]                                                                                                                                                                                                                                                                                                                                  
{11,12};[404,1761];[39.1656804733728,40.8284023668639]                                                                                                                                                                                                                                                                                                                                                       
{12,12};[1316];[44.9585798816568]                                                                                                                                                                                                                                                                                                                                                                            
{13,12};[75,1315];[38.7514792899408,40.2426035502959]                                                                                                                                                                                                                                                                                                                                                        
{14,12};[15,2020];[46.7869822485207,47.7573964497041]                                                                                                                                                                                                                                                                                                                                                        
{15,12};[808,1859];[59,58.5917159763314]                                                                                                                                                                                                                                                                                                                                                                     
{16,12};[15,767,1061];[61.3431952662722,60.2840236686391,62.0473372781065]                                                                                                                                                                                                                                                                                                                                   
{17,12};[85,394,766];[76.0650887573965,76.7988165680473,75.7869822485207]                                                                                                                                                                                                                                                                                                                                    
{18,12};[14,1788];[64.5443786982248,61.7396449704142]                                                                                                                                                                                                                                                                                                                                                        
{19,12};[144,1607,1859];[72.6804733727811,68.3076923076923,69.9526627218935]                                                                                                                                                                                                                                                                                                                                 
{20,12};[10,1083,1740];[69.9940828402367,70.2011834319527,70.603550295858]                                                                                                                                                                                                                                                                                                                                   
{21,12};[281,513,1861];[101.313609467456,99.2840236686391,101.112426035503]                                                                                                                                                                                                                                                                                                                                  
{22,12};[14,144,281,766,811,936,998,1214,1368,1523,1587,1614,1712,1761,1867,1969,2138,2236];[200.289940828402,202.91124260355,199.662721893491,197.822485207101,196.840236686391,198.12426035503,195.958579881657,198.887573964497,196.923076923077,195.970414201183,198.739644970414,198.065088757396,196.899408284024,199.727810650888,197.603550295858,197.662721893491,196.550295857988,196.573964497041]
{23,12};[20,1282,1900];[253.934911242604,253.727810650888,253.609467455621]                                                                                                                                                                                                                                                                                                                                  
{24,12};[144,1214,1296,1368,1602,1761,1859,1967,2236];[213.479289940828,209.491124260355,207.331360946746,206.952662721893,207.520710059172,210.852071005917,208.692307692308,208.289940828402,207.147928994083]                                                                                                                                                                                             
{25,12};[144,607,1330,1601,1713,1755,1861,2236];[97.0118343195266,94.4674556213018,91.2130177514793,91.905325443787,92.8402366863905,93.7396449704142,92.3668639053254,94.1952662721893]                                                                                                                                                                                                                     
{26,12};[15,1246,1588,1603,1893,2236];[67.9526627218935,66.0828402366864,68.2958579881657,67.207100591716,66.3550295857988,67.5680473372781]                                                                                                                                                                                                                                                                 
{27,12};[15,147,281,1365,1604,1807,1893,2234];[114.319526627219,113.544378698225,116.437869822485,111.792899408284,112.366863905325,113.355029585799,113.994082840237,109.431952662722]                                                                                                                                                                                                                      
{28,12};[14,144,281,811,1360,1600,1712,1893,1967,2236];[105.023668639053,106.520710059172,104.023668639053,103.621301775148,103.994082840237,102.278106508876,103.887573964497,104.905325443787,103.082840236686,103.05325443787]                                                                                                                                                                            
{29,12};[145,1605,1890];[51.9408284023669,51.5384615384615,51.2721893491124]                                                                                                                                                                                                                                                                                                                                 
{2,11};[144,814];[46.3136094674556,44.698224852071]                                                                                                                                                                                                                                                                                                                                                          
{3,11};[2251];[91.905325443787]                                                                                                                                                                                                                                                                                                                                                                              
{4,11};[1610,1869,2235];[70.9171597633136,72.2366863905325,71.9289940828402]                                                                                                                                                                                                                                                                                                                                 
{5,11};[281,1607,1863,2236];[65.7810650887574,63.7869822485207,65.0414201183432,64.3136094674556]                                                                                                                                                                                                                                                                                                            
{6,11};[514,998,1321,1645,1863,2248];[70.5562130177515,72.0295857988166,70.0355029585799,72.6272189349112,71.1360946745562,72.8343195266272]                                                                                                                                                                                                                                                                 
{7,11};[379,501,1333,1608,1860];[64.3491124260355,64.4082840236686,56.6449704142012,56.7396449704142,57.6449704142012]                                                                                                                                                                                                                                                                                       
{8,11};[384,497];[42.8994082840237,44.2958579881657]                                                                                                                                                                                                                                                                                                                                                         
{9,11};[276,543,1117];[38.6331360946746,43.4852071005917,38.3668639053254]                                                                                                                                                                                                                                                                                                                                   
{10,11};[162];[29.2899408284024]                                                                                                                                                                                                                                                                                                                                                                             
{12,11};[10];[25.905325443787]                                                                                                                                                                                                                                                                                                                                                                               
{13,11};[191];[28.6508875739645]                                                                                                                                                                                                                                                                                                                                                                             
{14,11};[1908];[32.905325443787]                                                                                                                                                                                                                                                                                                                                                                             
{15,11};[789,1538,2062,2384];[63.3846153846154,61.6804733727811,62.5976331360947,62.396449704142]                                                                                                                                                                                                                                                                                                            
{16,11};[409,817,1247,1795,2078];[28.8224852071006,30.2011834319527,30.8639053254438,30.4201183431953,29.8165680473373]                                                                                                                                                                                                                                                                                      
{17,11};[16,1333];[37.8224852071006,38.396449704142]                                                                                                                                                                                                                                                                                                                                                         
{19,11};[75,409,2242];[45.1360946745562,45.4852071005917,46.4437869822485]                                                                                                                                                                                                                                                                                                                                   
{20,11};[22,1726];[62.1597633136095,63.2485207100592]                                                                                                                                                                                                                                                                                                                                                        
{21,11};[1698,1955,2374];[64.7278106508876,63.8520710059172,65.1834319526627]                                                                                                                                                                                                                                                                                                                                
{22,11};[193,1909];[176.319526627219,173.254437869822]                                                                                                                                                                                                                                                                                                                                                       
{23,11};[62,2338];[214.934911242604,215.538461538462]                                                                                                                                                                                                                                                                                                                                                        
{24,11};[574,1178,1471,1751,2232];[188.313609467456,189.556213017751,191.508875739645,192.047337278107,192.639053254438]                                                                                                                                                                                                                                                                                     
{25,11};[607,879,1300];[163.473372781065,162.597633136095,163.573964497041]                                                                                                                                                                                                                                                                                                                                  
{26,11};[14,243,1029,1299,1910];[124.615384615385,124.852071005917,123.798816568047,125.005917159763,123.704142011834]                                                                                                                                                                                                                                                                                       
